account,period,cost_center,budget_amount,actual_amount,variance,percent_variance,flagged
1000,2024-01,4400,-28185.23,11416.53,39601.76,1.4050536397964466,True
1000,2024-01,4500,-2144.83,25659.08,27803.910000000003,12.963223192514095,True
1000,2024-01,4600,-56737.29,17635.35,74372.64,1.3108246798534084,True
1000,2024-02,4400,-10758.439999999999,44188.97,54947.41,5.107377091846031,True
1000,2024-02,4500,-14193.04,41056.979999999996,55250.02,3.8927544768421702,True
1000,2024-02,4600,-36550.979999999996,15538.41,52089.39,1.4251160981182995,True
1000,2024-03,4400,-33915.869999999995,36977.93,70893.79999999999,2.0902839879973594,True
1000,2024-03,4600,-56835.84,12582.16,69418.0,1.221377215503457,True
2000,2024-01,4400,-66895.36,7067.02,73962.38,1.1056429025869656,True
2000,2024-01,4500,-16073.980000000001,-22580.420000000002,-6506.4400000000005,-0.40478089433979636,True
2000,2024-01,4600,-9521.7,23955.36,33477.06,3.5158700652194455,True
2000,2024-02,4400,-39275.490000000005,10806.75,50082.240000000005,1.275152518784616,True
2000,2024-02,4500,-27277.510000000002,11099.08,38376.590000000004,1.406894910862465,True
2000,2024-02,4600,-21674.38,-2091.88,19582.5,0.903486051273439,True
2000,2024-03,4400,-21082.370000000003,17510.1,38592.47,1.8305565266144175,True
2000,2024-03,4500,-1781.17,-10460.04,-8678.87,-4.872566908268161,True
2000,2024-03,4600,-57512.5,-9415.74,48096.76,0.8362835905237992,True
3000,2024-01,4400,48757.48,-11416.9,-60174.380000000005,-1.2341568924398882,True
3000,2024-01,4500,50971.03,18477.8,-32493.23,-0.6374842729291521,True
3000,2024-01,4600,36202.25,4853.82,-31348.43,-0.8659249079822386,True
3000,2024-02,4400,11733.47,-9097.589999999998,-20831.059999999998,-1.7753537529818544,True
3000,2024-02,4500,74924.58,4200.689999999999,-70723.89,-0.9439344204532077,True
3000,2024-02,4600,42059.490000000005,-22524.58,-64584.07000000001,-1.5355409682808803,True
3000,2024-03,4400,40389.7,14542.93,-25846.769999999997,-0.6399346863185416,True
3000,2024-03,4500,11263.61,45783.990000000005,34520.380000000005,3.0647705309399034,True
3000,2024-03,4600,48603.729999999996,46429.0,-2174.729999999996,-0.04474409680080101,False
1000,2024-03,4500,0.0,27387.109999999997,27387.109999999997,0.0,False
