id,cost_center,account,actuals_amount,budget_amount,Matched?
1,4600,1000,11714.71,11746.8,no
2,4500,1000,17862.92,17850.99,no
3,4400,3000,16770.07,16794.6,no
4,4600,3000,-2685.99,-2731.72,no
5,4500,1000,11572.19,11615.47,no
6,4400,1000,9447.11,9431.41,no
7,4500,1000,-8420.29,-8454.0,no
8,4400,3000,15676.82,15688.34,no
9,4600,3000,-14983.79,-15004.47,no
10,4600,3000,-9111.76,-9085.69,no
11,4400,2000,2512.22,2465.91,no
12,4400,1000,-2643.72,-2597.27,no
13,4400,2000,922.6,903.52,no
14,4600,2000,-1109.34,-1076.95,no
15,4600,3000,5900.62,5874.54,no
16,4500,1000,4903.54,4872.0,no
17,4400,3000,-2542.01,-2557.02,no
18,4400,1000,15675.42,15702.98,no
19,4400,3000,-9067.63,-9030.59,no
20,4500,2000,7114.61,7099.33,no
21,4400,1000,4919.63,4969.31,no
22,4400,2000,9.63,-30.8,no
23,4400,1000,-525.89,-501.69,no
24,4500,3000,11238.01,11218.0,no
25,4600,2000,6824.28,6870.03,no
26,4500,2000,8592.11,8626.63,no
27,4600,1000,-14660.05,-14691.34,no
28,4500,3000,-4240.52,-4215.91,no
29,4500,1000,-6497.66,-6535.88,no
30,4600,3000,236.41,199.3,no
31,4500,1000,6825.13,6843.89,no
32,4600,2000,13665.95,13683.23,no
33,4400,2000,14018.85,14011.72,no
34,4400,1000,13251.74,13286.7,no
35,4600,1000,777.46,778.81,no
36,4400,1000,-4247.12,-4219.82,no
37,4500,1000,-256.79,-301.44,no
38,4400,3000,6315.84,6358.36,no
39,4400,1000,-2992.8,-2976.91,no
40,4400,1000,-1361.42,-1317.33,no
41,4400,2000,-418.92,-465.6,no
42,4600,2000,-1241.81,-1195.45,no
43,4600,1000,-173.51,-132.26,no
44,4400,3000,-2863.51,-2908.08,no
45,4500,2000,10324.48,10305.46,no
46,4500,3000,15133.77,15173.26,no
47,4500,1000,-7677.65,-7700.63,no
48,4600,3000,2231.23,2222.15,no
49,4400,1000,466.46,481.72,no
50,4400,1000,-8061.97,-8046.73,no
51,4600,3000,17248.98,17274.59,no
52,4500,3000,7609.39,7655.53,no
53,4600,3000,-3571.64,-3541.41,no
54,4600,3000,-8722.07,-8685.5,no
55,4500,2000,-13842.47,-13861.97,no
56,4500,1000,7448.18,7415.95,no
57,4400,2000,-2125.03,-2142.81,no
58,4500,1000,6122.6,6116.21,no
59,4600,1000,10665.14,10633.28,no
60,4400,2000,-7149.11,-7113.27,no
61,4400,1000,4563.61,4586.64,no
62,4600,3000,2605.66,2609.76,no
63,4500,3000,18222.62,18180.51,no
64,4600,3000,-13751.35,-13725.89,no
65,4500,3000,11358.12,11393.73,no
66,4400,2000,-11039.62,-11004.55,no
67,4500,2000,3539.41,3512.94,no
68,4600,3000,16754.36,16723.43,no
69,4500,2000,-7451.22,-7492.31,no
70,4400,1000,-14949.42,-14931.59,no
71,4600,3000,18184.33,18135.01,no
72,4600,2000,17672.01,17691.69,no
73,4600,3000,16336.32,16360.51,no
74,4500,2000,13135.05,13112.53,no
75,4600,3000,-3020.74,-2979.75,no
76,4400,1000,12551.91,12593.09,no
77,4500,1000,12195.74,12162.83,no
78,4600,2000,18653.58,18614.69,no
79,4400,2000,14011.87,14031.33,no
80,4600,1000,517.34,552.4,no
81,4500,1000,3810.46,3761.77,no
82,4500,2000,7971.43,7923.79,no
83,4500,2000,3668.18,3673.09,no
84,4600,2000,7156.87,7154.78,no
85,4500,1000,-2684.85,-2724.02,no
86,4500,3000,9674.47,9713.93,no
87,4400,2000,-1786.75,-1771.09,no
88,4400,1000,-4210.27,-4249.41,no
89,4600,2000,-14394.39,-14347.09,no
90,4500,1000,19958.79,19935.43,no
91,4500,3000,-12957.77,-12961.85,no
92,4400,1000,10916.63,10942.9,no
93,4500,1000,18994.58,19017.72,no
94,4400,1000,7723.39,7697.66,no
95,4500,1000,-5069.29,-5048.58,no
96,4500,2000,10831.75,10814.07,no
97,4500,3000,-3874.49,-3832.77,no
98,4400,3000,19703.78,19689.16,no
99,4400,3000,9049.63,9055.07,no
100,4400,3000,-327.73,-298.26,no
