id,bank_account,txn_date,amount,description,cleared_flag
1,JPMC002,2024-02-17,8192.87,Client deposit,yes
2,JPMC002,2024-03-05,3141.96,Wire transfer,no
3,WF001,2024-02-21,-2078.89,Client deposit,yes
4,WF001,2024-03-08,62.73,Vendor payment,no
5,JPMC002,2024-02-10,-4759.06,Wire transfer,no
6,WF001,2024-03-27,7142.16,Client deposit,yes
7,WF001,2024-02-17,477.41,Interest credit,no
8,JPMC002,2024-03-22,3917.38,Bank fee,no
9,WF001,2024-03-02,9604.65,Bank fee,yes
10,JPMC002,2024-01-31,5965.45,Interest credit,yes
11,WF001,2024-01-14,-1367.28,Wire transfer,no
12,WF001,2024-02-21,6441.86,Wire transfer,no
13,JPMC002,2024-02-22,8395.92,Bank fee,no
14,WF001,2024-03-04,-381.61,Client deposit,yes
15,JPMC002,2024-03-27,1916.48,Client deposit,yes
16,JPMC002,2024-02-06,9755.18,Wire transfer,no
17,WF001,2024-02-21,9743.62,Interest credit,no
18,WF001,2024-01-31,-2391.86,Interest credit,no
19,WF001,2024-01-25,3663.33,Client deposit,no
20,JPMC002,2024-03-20,-870.48,Vendor payment,yes
21,WF001,2024-03-19,1502.61,Vendor payment,yes
22,JPMC002,2024-02-18,9282.58,Bank fee,yes
23,WF001,2024-01-08,3372.93,Wire transfer,yes
24,WF001,2024-01-14,2139.85,Wire transfer,no
25,JPMC002,2024-03-02,3477.44,Client deposit,yes
26,JPMC002,2024-03-05,-4108.36,Bank fee,no
27,WF001,2024-01-16,-1695.33,Interest credit,yes
28,WF001,2024-02-23,394.89,Vendor payment,no
29,JPMC002,2024-01-09,-687.92,Vendor payment,no
30,JPMC002,2024-01-07,3582.64,Vendor payment,yes
31,WF001,2024-03-14,-2488.41,Client deposit,yes
32,WF001,2024-03-23,549.64,Client deposit,no
33,JPMC002,2024-03-08,-1873.52,Bank fee,no
34,JPMC002,2024-03-11,6216.33,Interest credit,yes
35,JPMC002,2024-01-21,9846.77,Client deposit,no
36,JPMC002,2024-01-23,2673.66,Vendor payment,no
37,WF001,2024-02-23,2060.63,Wire transfer,no
38,JPMC002,2024-01-30,7124.07,Bank fee,yes
39,JPMC002,2024-02-24,287.2,Wire transfer,yes
40,WF001,2024-03-17,-2478.42,Vendor payment,yes
41,WF001,2024-02-19,2975.29,Client deposit,yes
42,JPMC002,2024-01-20,9386.39,Wire transfer,yes
43,JPMC002,2024-03-27,9302.87,Interest credit,no
45,JPMC002,2024-01-03,5142.15,Client deposit,yes
46,WF001,2024-03-07,4539.56,Client deposit,no
47,JPMC002,2024-03-12,1011.43,Bank fee,yes
48,JPMC002,2024-02-03,-1292.31,Client deposit,no
49,JPMC002,2024-02-21,-687.14,Bank fee,yes
50,WF001,2024-03-17,9145.92,Wire transfer,no
51,JPMC002,2024-01-16,3060.6,Client deposit,yes
52,JPMC002,2024-02-15,9628.39,Interest credit,yes
53,WF001,2024-03-22,9870.68,Bank fee,no
54,JPMC002,2024-03-31,2194.65,Client deposit,no
55,JPMC002,2024-01-21,1180.59,Vendor payment,no
57,WF001,2024-01-12,-1952.44,Bank fee,yes
58,JPMC002,2024-01-13,-4265.29,Client deposit,yes
59,WF001,2024-02-20,6450.9,Vendor payment,no
60,WF001,2024-03-31,4673.75,Client deposit,yes
61,WF001,2024-01-14,-2896.22,Client deposit,no
62,JPMC002,2024-02-25,-2864.77,Interest credit,no
63,JPMC002,2024-02-16,510.49,Interest credit,yes
64,WF001,2024-03-01,6881.87,Vendor payment,no
65,WF001,2024-03-28,-3535.07,Bank fee,no
66,JPMC002,2024-01-25,7070.91,Client deposit,yes
67,JPMC002,2024-01-14,4501.06,Wire transfer,no
68,WF001,2024-02-06,7491.93,Vendor payment,no
69,WF001,2024-02-08,-2857.21,Wire transfer,yes
70,JPMC002,2024-01-17,6961.03,Client deposit,no
71,WF001,2024-01-19,3622.83,Interest credit,yes
72,WF001,2024-02-13,5012.78,Vendor payment,yes
73,WF001,2024-03-21,5872.36,Bank fee,yes
74,JPMC002,2024-02-12,-1244.68,Interest credit,yes
75,JPMC002,2024-03-17,-2352.95,Interest credit,yes
76,JPMC002,2024-01-09,7405.47,Client deposit,yes
77,JPMC002,2024-03-14,-2007.02,Bank fee,no
78,JPMC002,2024-03-02,-82.41,Client deposit,no
79,WF001,2024-01-06,4769.36,Client deposit,yes
80,JPMC002,2024-01-04,-860.48,Bank fee,no
81,WF001,2024-02-29,-1822.44,Bank fee,yes
82,WF001,2024-01-21,-2699.31,Bank fee,no
83,JPMC002,2024-01-11,3140.71,Client deposit,yes
84,WF001,2024-01-14,8285.0,Interest credit,no
85,JPMC002,2024-02-08,-2699.63,Bank fee,yes
86,JPMC002,2024-02-25,-1029.69,Wire transfer,no
87,WF001,2024-02-08,7473.56,Vendor payment,yes
88,JPMC002,2024-03-15,2441.5,Client deposit,no
89,JPMC002,2024-01-03,3563.8,Vendor payment,no
90,JPMC002,2024-02-08,8843.14,Wire transfer,no
91,WF001,2024-01-02,4763.0,Client deposit,no
92,WF001,2024-01-17,-4650.22,Vendor payment,yes
93,WF001,2024-02-05,-3353.66,Client deposit,no
94,JPMC002,2024-03-19,-2334.44,Client deposit,yes
95,WF001,2024-03-19,-3623.79,Bank fee,no
96,JPMC002,2024-01-10,6466.32,Vendor payment,no
97,WF001,2024-03-06,7456.87,Client deposit,yes
98,WF001,2024-01-23,2931.5,Bank fee,yes
99,JPMC002,2024-03-07,7573.7,Interest credit,no
100,WF001,2024-02-25,5882.97,Interest credit,yes
