id,vendor_id,account,company_code,amount,period,status
1,V003,2000,1100,-1658.41,2024-02,posted
2,V002,4000,1200,-3316.38,2024-02,posted
3,V002,4000,1200,-3763.43,2024-01,posted
4,V003,2000,1200,-8138.31,2024-02,unposted
5,V001,3000,1200,-6431.19,2024-02,unposted
6,V001,3000,1100,-8670.66,2024-01,paid
7,V002,4000,1100,-3485.33,2024-03,posted
8,V003,3000,1100,-5395.63,2024-03,posted
9,V001,3000,1200,-8238.5,2024-02,posted
10,V002,4000,1200,-8680.56,2024-01,unposted
11,V001,2000,1200,-6073.04,2024-02,paid
12,V003,2000,1200,-4673.98,2024-03,unposted
13,V002,4000,1100,-3055.1,2024-01,paid
14,V001,2000,1100,-8339.33,2024-02,posted
15,V002,4000,1100,-1744.38,2024-01,paid
16,V003,3000,1200,-8199.84,2024-02,unposted
17,V001,3000,1100,-3615.2,2024-03,unposted
18,V002,4000,1200,-2279.26,2024-03,paid
19,V003,2000,1100,-2633.79,2024-01,posted
20,V002,4000,1100,-5437.76,2024-01,unposted
21,V003,2000,1100,-1428.59,2024-03,posted
22,V002,4000,1100,-9978.6,2024-03,paid
23,V001,2000,1200,-3343.42,2024-02,paid
24,V003,2000,1200,-9286.65,2024-01,paid
25,V001,2000,1100,-7205.63,2024-01,posted
26,V002,2000,1100,-8151.1,2024-03,unposted
27,V003,3000,1200,-1966.24,2024-02,paid
28,V002,4000,1200,-1879.23,2024-03,unposted
29,V001,2000,1200,-5866.07,2024-02,posted
30,V001,3000,1100,-4619.01,2024-01,paid
31,V002,3000,1200,-1746.4,2024-03,posted
32,V003,3000,1200,-9945.49,2024-03,posted
33,V001,3000,1100,-7098.47,2024-03,paid
34,V003,4000,1100,-9587.58,2024-03,unposted
35,V001,3000,1100,-1140.07,2024-03,posted
36,V002,4000,1200,-7170.6,2024-01,posted
37,V003,4000,1200,-1801.81,2024-03,posted
38,V001,2000,1100,-3695.16,2024-02,paid
39,V003,2000,1100,-3194.47,2024-01,paid
40,V001,3000,1200,-1940.28,2024-02,posted
41,V001,3000,1200,-3171.2,2024-03,posted
42,V003,3000,1200,-3137.25,2024-02,unposted
43,V003,3000,1100,-5688.57,2024-02,paid
44,V001,4000,1200,-9685.38,2024-03,posted
45,V001,4000,1100,-5390.09,2024-03,paid
46,V003,4000,1200,-9791.01,2024-01,paid
47,V003,4000,1100,-7381.23,2024-03,posted
48,V003,3000,1200,-3796.67,2024-03,posted
49,V001,3000,1200,-4707.79,2024-03,posted
50,V003,3000,1100,-3667.7,2024-02,posted
51,V001,3000,1100,-1858.36,2024-03,unposted
52,V001,2000,1100,-6859.3,2024-03,posted
53,V002,2000,1100,-4691.99,2024-03,posted
54,V002,2000,1100,-4101.32,2024-03,paid
55,V001,2000,1100,-7708.01,2024-02,unposted
56,V001,4000,1100,-3789.32,2024-01,posted
57,V003,3000,1200,-6583.03,2024-03,paid
58,V001,3000,1100,-1930.64,2024-03,unposted
59,V001,2000,1100,-3758.26,2024-01,unposted
60,V001,3000,1200,-5129.3,2024-01,posted
61,V002,4000,1200,-7575.96,2024-01,unposted
62,V003,2000,1200,-7447.33,2024-01,posted
63,V001,2000,1200,-5992.68,2024-01,posted
64,V002,3000,1200,-2120.85,2024-02,unposted
65,V002,2000,1100,-6641.06,2024-02,posted
66,V002,2000,1200,-2212.72,2024-02,paid
67,V003,3000,1200,-6023.11,2024-02,paid
68,V002,4000,1200,-6100.92,2024-03,posted
69,V002,3000,1200,-7546.09,2024-01,paid
70,V001,2000,1100,-7625.15,2024-03,paid
71,V001,3000,1100,-2459.45,2024-01,unposted
72,V001,4000,1200,-4660.95,2024-01,paid
73,V001,3000,1100,-3045.35,2024-02,paid
74,V002,2000,1100,-6153.63,2024-01,unposted
75,V003,2000,1100,-9476.32,2024-03,paid
76,V001,4000,1100,-9211.33,2024-03,posted
77,V003,3000,1100,-2200.84,2024-01,unposted
78,V003,3000,1200,-9760.2,2024-02,paid
79,V003,2000,1200,-7019.45,2024-02,paid
80,V003,3000,1100,-9034.9,2024-03,paid
81,V002,3000,1200,-8524.16,2024-03,paid
82,V002,4000,1200,-8240.35,2024-02,unposted
83,V002,2000,1100,-5064.97,2024-02,posted
84,V002,4000,1100,-4059.07,2024-01,posted
85,V003,3000,1200,-2210.24,2024-03,paid
86,V002,3000,1200,-8445.52,2024-02,unposted
87,V001,2000,1200,-2054.95,2024-03,unposted
88,V001,2000,1100,-2343.76,2024-01,paid
89,V003,2000,1100,-8612.03,2024-01,unposted
90,V003,4000,1100,-6154.02,2024-01,posted
91,V001,3000,1100,-7537.67,2024-03,paid
92,V003,3000,1200,-7235.5,2024-02,unposted
93,V001,2000,1100,-3883.58,2024-03,paid
94,V002,2000,1100,-5567.49,2024-02,posted
95,V003,3000,1200,-2597.23,2024-03,unposted
96,V001,2000,1200,-7106.63,2024-01,unposted
97,V001,4000,1200,-8658.26,2024-03,paid
98,V001,2000,1200,-1305.98,2024-01,paid
99,V002,3000,1100,-1709.73,2024-01,posted
100,V001,4000,1100,-5574.62,2024-02,unposted
