id,account,company_code,ap_amount,gl_amount,Matched?
1,2000,1100,-1658,-1665,no
2,4000,1200,-3316,-3325,no
3,4000,1200,-3763,-3800,no
4,2000,1200,-8138,-8090,no
5,3000,1200,-6431,-6415,no
6,3000,1100,-8671,-8710,no
7,4000,1100,-3485,-3437,no
8,3000,1100,-5396,-5438,no
9,3000,1200,-8239,-8248,no
10,4000,1200,-8681,-8666,no
11,2000,1200,-6073,-6040,no
12,2000,1200,-4674,-4704,no
13,4000,1100,-3055,-3082,no
14,2000,1100,-8339,-8345,no
15,4000,1100,-1744,-1757,no
16,3000,1200,-8200,-8195,no
17,3000,1100,-3615,-3588,no
18,4000,1200,-2279,-2264,no
19,2000,1100,-2634,-2653,no
20,4000,1100,-5438,-5477,no
21,2000,1100,-1429,-1415,no
22,4000,1100,-9979,-10021,no
23,2000,1200,-3343,-3338,no
24,2000,1200,-9287,-9309,no
25,2000,1100,-7206,-7227,no
26,2000,1100,-8151,-8159,no
27,3000,1200,-1966,-1980,no
28,4000,1200,-1879,-1837,no
29,2000,1200,-5866,-5883,no
30,3000,1100,-4619,-4581,no
31,3000,1200,-1746,-1773,no
32,3000,1200,-9945,-9988,no
33,3000,1100,-7098,-7063,no
34,4000,1100,-9588,-9599,no
35,3000,1100,-1140,-1095,no
36,4000,1200,-7171,-7130,no
37,4000,1200,-1802,-1778,no
38,2000,1100,-3695,-3647,no
39,2000,1100,-3194,-3162,no
40,3000,1200,-1940,-1987,no
41,3000,1200,-3171,-3167,no
42,3000,1200,-3137,-3138,no
43,3000,1100,-5689,-5696,no
44,4000,1200,-9685,-9701,no
45,4000,1100,-5390,-5366,no
46,4000,1200,-9791,-9767,no
47,4000,1100,-7381,-7354,no
48,3000,1200,-3797,-3842,no
49,3000,1200,-4708,-4664,no
50,3000,1100,-3668,-3675,no
51,3000,1100,-1858,-1817,no
52,2000,1100,-6859,-6857,no
53,2000,1100,-4692,-4657,no
54,2000,1100,-4101,-4144,no
55,2000,1100,-7708,-7722,no
56,4000,1100,-3789,-3831,no
57,3000,1200,-6583,-6623,no
58,3000,1100,-1931,-1940,no
59,2000,1100,-3758,-3791,no
60,3000,1200,-5129,-5101,no
61,4000,1200,-7576,-7597,no
62,2000,1200,-7447,-7467,no
63,2000,1200,-5993,-6019,no
64,3000,1200,-2121,-2089,no
65,2000,1100,-6641,-6638,no
66,2000,1200,-2213,-2194,no
67,3000,1200,-6023,-6049,no
68,4000,1200,-6101,-6121,no
69,3000,1200,-7546,-7522,no
70,2000,1100,-7625,-7587,no
71,3000,1100,-2459,-2445,no
72,4000,1200,-4661,-4667,no
73,3000,1100,-3045,-3046,no
74,2000,1100,-6154,-6189,no
75,2000,1100,-9476,-9477,no
76,4000,1100,-9211,-9163,no
77,3000,1100,-2201,-2245,no
78,3000,1200,-9760,-9736,no
79,2000,1200,-7019,-7045,no
80,3000,1100,-9035,-9026,no
81,3000,1200,-8524,-8483,no
82,4000,1200,-8240,-8270,no
83,2000,1100,-5065,-5034,no
84,4000,1100,-4059,-4080,no
85,3000,1200,-2210,-2230,no
86,3000,1200,-8446,-8411,no
87,2000,1200,-2055,-2061,no
88,2000,1100,-2344,-2369,no
89,2000,1100,-8612,-8581,no
90,4000,1100,-6154,-6200,no
91,3000,1100,-7538,-7567,no
92,3000,1200,-7236,-7212,no
93,2000,1100,-3884,-3929,no
94,2000,1100,-5567,-5537,no
95,3000,1200,-2597,-2585,no
96,2000,1200,-7107,-7109,no
97,4000,1200,-8658,-8659,no
98,2000,1200,-1306,-1302,no
99,3000,1100,-1710,-1722,no
100,4000,1100,-5575,-5567,no
