id,cost_center,account,period,Total_amount
1,4400,1000,2024-01,9476.01
2,4400,1000,2024-02,29550.14
3,4400,1000,2024-03,1497.1399999999994
4,4400,2000,2024-01,6414.049999999999
5,4400,2000,2024-02,11467.92
6,4400,2000,2024-03,-8926.23
7,4400,3000,2024-01,-2881.51
8,4400,3000,2024-02,36473.85
9,4400,3000,2024-03,19122.92
10,4500,1000,2024-01,10687.02
11,4500,1000,2024-02,43346.270000000004
12,4500,1000,2024-03,25054.309999999998
13,4500,2000,2024-01,4453.4400000000005
14,4500,2000,2024-02,36098.32
15,4500,2000,2024-03,3331.5699999999993
16,4500,3000,2024-01,39156.369999999995
17,4500,3000,2024-02,6009.74
18,4500,3000,2024-03,6997.49
19,4600,1000,2024-01,777.46
20,4600,1000,2024-02,22379.85
21,4600,1000,2024-03,-14316.22
22,4600,2000,2024-01,13665.95
23,4600,2000,2024-02,-1241.81
24,4600,2000,2024-03,34803.009999999995
25,4600,3000,2024-01,-3571.64
26,4600,3000,2024-02,43029.83
27,4600,3000,2024-03,-15807.62
