id,bank_account,txn_date,cleared_flag,Total_amount
1,JPMC002,2024-01-03,no,3531.62
2,JPMC002,2024-01-03,yes,5138.7
3,JPMC002,2024-01-04,no,-827.08
4,JPMC002,2024-01-07,yes,3575.79
5,JPMC002,2024-01-09,no,-688.54
6,JPMC002,2024-01-09,yes,7424.77
7,JPMC002,2024-01-10,no,6444.31
8,JPMC002,2024-01-11,yes,3116.36
9,JPMC002,2024-01-13,yes,-4262.75
10,JPMC002,2024-01-14,no,4471.61
11,JPMC002,2024-01-16,yes,3046.65
12,JPMC002,2024-01-17,no,6913.41
13,JPMC002,2024-01-20,yes,9414.0
14,JPMC002,2024-01-21,no,11075.99
15,JPMC002,2024-01-23,no,2640.1
16,JPMC002,2024-01-25,yes,7021.27
17,JPMC002,2024-01-30,yes,7076.33
18,JPMC002,2024-01-31,yes,5922.71
19,JPMC002,2024-02-03,no,-1261.78
20,JPMC002,2024-02-06,no,9717.08
21,JPMC002,2024-02-08,no,8832.27
22,JPMC002,2024-02-08,yes,-2686.09
23,JPMC002,2024-02-10,no,-4752.37
24,JPMC002,2024-02-12,yes,-1244.19
25,JPMC002,2024-02-15,yes,9635.42
26,JPMC002,2024-02-16,yes,527.23
27,JPMC002,2024-02-17,yes,8210.99
28,JPMC002,2024-02-18,yes,9282.96
29,JPMC002,2024-02-21,yes,-659.21
30,JPMC002,2024-02-22,no,8394.49
31,JPMC002,2024-02-24,yes,246.88
32,JPMC002,2024-02-25,no,-3845.68
33,JPMC002,2024-02-29,no,9562.28
34,JPMC002,2024-03-02,no,-90.63
35,JPMC002,2024-03-02,yes,3509.51
36,JPMC002,2024-03-05,no,-998.0399999999995
37,JPMC002,2024-03-07,no,7526.47
38,JPMC002,2024-03-08,no,-1895.42
39,JPMC002,2024-03-11,yes,6171.47
40,JPMC002,2024-03-12,yes,1030.36
41,JPMC002,2024-03-14,no,-1979.47
42,JPMC002,2024-03-15,no,2397.17
43,JPMC002,2024-03-17,yes,-2346.23
44,JPMC002,2024-03-19,yes,-2285.45
45,JPMC002,2024-03-20,yes,-875.57
46,JPMC002,2024-03-22,no,3933.17
47,JPMC002,2024-03-27,no,9345.04
48,JPMC002,2024-03-27,yes,1929.75
49,JPMC002,2024-03-31,no,2172.47
50,WF001,2024-01-02,no,4762.48
51,WF001,2024-01-06,yes,4800.68
52,WF001,2024-01-08,yes,3377.02
53,WF001,2024-01-12,yes,-1943.32
54,WF001,2024-01-14,no,6019.029999999999
55,WF001,2024-01-16,yes,-1704.34
56,WF001,2024-01-17,yes,-4631.66
57,WF001,2024-01-19,yes,6575.08
58,WF001,2024-01-21,no,-2747.8
59,WF001,2024-01-23,yes,2956.45
60,WF001,2024-01-25,no,3636.3
61,WF001,2024-01-31,no,-2426.73
62,WF001,2024-02-05,no,-3354.84
63,WF001,2024-02-06,no,7536.51
64,WF001,2024-02-08,yes,4575.43
65,WF001,2024-02-13,yes,4983.32
66,WF001,2024-02-17,no,446.91
67,WF001,2024-02-19,yes,2994.57
68,WF001,2024-02-20,no,6430.68
69,WF001,2024-02-21,no,16138.48
70,WF001,2024-02-21,yes,-2127.3
71,WF001,2024-02-23,no,2469.46
72,WF001,2024-02-25,yes,5874.94
73,WF001,2024-02-29,yes,-1813.75
74,WF001,2024-03-01,no,6901.35
75,WF001,2024-03-02,yes,9580.0
76,WF001,2024-03-04,yes,-426.08
77,WF001,2024-03-06,yes,7419.67
78,WF001,2024-03-07,no,4566.86
79,WF001,2024-03-08,no,85.22
80,WF001,2024-03-14,yes,-2488.37
81,WF001,2024-03-17,no,9120.73
82,WF001,2024-03-17,yes,-2496.1
83,WF001,2024-03-19,no,-3673.27
84,WF001,2024-03-19,yes,1454.08
85,WF001,2024-03-21,yes,5847.82
86,WF001,2024-03-22,no,9836.73
87,WF001,2024-03-23,no,538.73
88,WF001,2024-03-27,yes,7105.7
89,WF001,2024-03-28,no,-3564.79
90,WF001,2024-03-31,yes,4651.88
