id,cost_center,account,amount,period
1,4600,1000,11714.71,2024-02
2,4500,1000,17862.92,2024-03
3,4400,3000,16770.07,2024-02
4,4600,3000,-2685.99,2024-03
5,4500,1000,11572.19,2024-02
6,4400,1000,9447.11,2024-02
7,4500,1000,-8420.29,2024-02
8,4400,3000,15676.82,2024-03
9,4600,3000,-14983.79,2024-03
10,4600,3000,-9111.76,2024-03
11,4400,2000,2512.22,2024-01
12,4400,1000,-2643.72,2024-02
13,4400,2000,922.6,2024-01
14,4600,2000,-1109.34,2024-03
15,4600,3000,5900.62,2024-03
16,4500,1000,4903.54,2024-01
17,4400,3000,-2542.01,2024-03
18,4400,1000,15675.42,2024-02
19,4400,3000,-9067.63,2024-01
20,4500,2000,7114.61,2024-03
21,4400,1000,4919.63,2024-02
22,4400,2000,9.63,2024-03
23,4400,1000,-525.89,2024-01
24,4500,3000,11238.01,2024-03
25,4600,2000,6824.28,2024-03
26,4500,2000,8592.11,2024-02
27,4600,1000,-14660.05,2024-03
28,4500,3000,-4240.52,2024-03
29,4500,1000,-6497.66,2024-01
30,4600,3000,236.41,2024-03
31,4500,1000,6825.13,2024-02
32,4600,2000,13665.95,2024-01
33,4400,2000,14018.85,2024-01
34,4400,1000,13251.74,2024-01
35,4600,1000,777.46,2024-01
36,4400,1000,-4247.12,2024-01
37,4500,1000,-256.79,2024-03
38,4400,3000,6315.84,2024-03
39,4400,1000,-2992.8,2024-03
40,4400,1000,-1361.42,2024-02
41,4400,2000,-418.92,2024-02
42,4600,2000,-1241.81,2024-02
43,4600,1000,-173.51,2024-03
44,4400,3000,-2863.51,2024-01
45,4500,2000,10324.48,2024-01
46,4500,3000,15133.77,2024-01
47,4500,1000,-7677.65,2024-01
48,4600,3000,2231.23,2024-03
49,4400,1000,466.46,2024-01
50,4400,1000,-8061.97,2024-03
51,4600,3000,17248.98,2024-02
52,4500,3000,7609.39,2024-02
53,4600,3000,-3571.64,2024-01
54,4600,3000,-8722.07,2024-02
55,4500,2000,-13842.47,2024-01
56,4500,1000,7448.18,2024-03
57,4400,2000,-2125.03,2024-02
58,4500,1000,6122.6,2024-02
59,4600,1000,10665.14,2024-02
60,4400,2000,-7149.11,2024-03
61,4400,1000,4563.61,2024-01
62,4600,3000,2605.66,2024-03
63,4500,3000,18222.62,2024-01
64,4600,3000,-13751.35,2024-02
65,4500,3000,11358.12,2024-02
66,4400,2000,-11039.62,2024-01
67,4500,2000,3539.41,2024-02
68,4600,3000,16754.36,2024-02
69,4500,2000,-7451.22,2024-03
70,4400,1000,-14949.42,2024-01
71,4600,3000,18184.33,2024-02
72,4600,2000,17672.01,2024-03
73,4600,3000,16336.32,2024-02
74,4500,2000,13135.05,2024-02
75,4600,3000,-3020.74,2024-02
76,4400,1000,12551.91,2024-03
77,4500,1000,12195.74,2024-02
78,4600,2000,18653.58,2024-03
79,4400,2000,14011.87,2024-02
80,4600,1000,517.34,2024-03
81,4500,1000,3810.46,2024-02
82,4500,2000,7971.43,2024-01
83,4500,2000,3668.18,2024-03
84,4600,2000,7156.87,2024-03
85,4500,1000,-2684.85,2024-02
86,4500,3000,9674.47,2024-01
87,4400,2000,-1786.75,2024-03
88,4400,1000,-4210.27,2024-02
89,4600,2000,-14394.39,2024-03
90,4500,1000,19958.79,2024-01
91,4500,3000,-12957.77,2024-02
92,4400,1000,10916.63,2024-01
93,4500,1000,18994.58,2024-02
94,4400,1000,7723.39,2024-02
95,4500,1000,-5069.29,2024-02
96,4500,2000,10831.75,2024-02
97,4500,3000,-3874.49,2024-01
98,4400,3000,19703.78,2024-02
99,4400,3000,9049.63,2024-01
100,4400,3000,-327.73,2024-03
