id,account,company_code,amount,period
1,1000,1200,292.08,2024-01
2,2000,1200,-3470.62,2024-03
3,3000,1100,-1868.55,2024-03
4,1000,1100,-1942.91,2024-02
5,1000,1200,648.29,2024-01
6,1000,1100,-6354.37,2024-01
7,3000,1200,2930.49,2024-03
8,1000,1100,8633.32,2024-03
9,1000,1100,-2104.85,2024-03
10,1000,1100,-1418.35,2024-02
11,3000,1200,3309.05,2024-03
12,1000,1100,7427.63,2024-02
13,1000,1100,-1069.68,2024-02
14,3000,1200,270.49,2024-03
15,3000,1100,-667.85,2024-03
16,1000,1100,671.82,2024-03
17,1000,1100,9721.68,2024-01
18,1000,1200,7543.2,2024-02
19,3000,1100,676.38,2024-01
20,1000,1100,-2557.01,2024-03
21,1000,1200,7843.84,2024-03
22,1000,1100,7526.23,2024-02
23,3000,1200,6807.86,2024-01
24,3000,1100,8919.7,2024-02
25,3000,1200,-6667.05,2024-03
26,2000,1100,5007.14,2024-03
27,3000,1200,5776.44,2024-01
28,1000,1200,4558.43,2024-01
29,2000,1200,3663.73,2024-02
30,3000,1100,828.74,2024-02
31,3000,1100,-8853.9,2024-01
32,3000,1100,5388.54,2024-02
33,2000,1200,6822.45,2024-01
34,2000,1100,-6960.7,2024-03
35,3000,1100,-3829.16,2024-03
36,1000,1100,4778.38,2024-02
37,3000,1100,-3016.82,2024-03
38,1000,1200,-2318.11,2024-02
39,3000,1100,7120.33,2024-01
40,2000,1200,-4985.68,2024-01
41,3000,1100,4516.69,2024-03
42,1000,1100,-7696.43,2024-02
43,3000,1200,-8572.79,2024-01
44,2000,1100,2025.61,2024-03
45,1000,1200,4546.45,2024-02
46,2000,1100,2249.18,2024-02
47,2000,1200,-9048.34,2024-03
48,3000,1100,2294.13,2024-02
49,1000,1100,-5399.33,2024-02
50,1000,1200,-9632.79,2024-01
51,3000,1200,7672.42,2024-01
52,3000,1100,-5133.66,2024-03
53,1000,1200,-4410.08,2024-02
54,3000,1200,8900.15,2024-01
55,2000,1200,-5952.92,2024-01
56,3000,1200,-5843.71,2024-03
57,1000,1100,-1192.46,2024-03
58,2000,1100,-3903.53,2024-02
59,1000,1200,2351.98,2024-01
60,3000,1100,-8531.09,2024-01
61,1000,1100,240.76,2024-02
62,1000,1100,5797.28,2024-03
63,3000,1100,-2519.05,2024-02
64,1000,1100,575.65,2024-02
65,1000,1100,8693.35,2024-03
66,1000,1200,-1376.62,2024-02
67,3000,1200,5666.22,2024-02
68,2000,1200,7062.79,2024-03
69,3000,1200,-2529.56,2024-02
70,2000,1200,8594.06,2024-03
71,1000,1100,-4764.53,2024-01
72,3000,1100,-2409.78,2024-02
73,2000,1200,-1194.71,2024-03
74,3000,1100,-1219.91,2024-02
75,3000,1200,2271.86,2024-03
76,1000,1200,-1205.76,2024-03
77,2000,1100,-6048.47,2024-02
78,1000,1100,-6657.85,2024-03
79,1000,1200,-8307.01,2024-03
80,2000,1200,-3245.35,2024-03
81,2000,1100,1782.56,2024-03
82,3000,1200,-3261.79,2024-02
83,2000,1100,9060.2,2024-02
84,2000,1200,6738.65,2024-02
85,3000,1200,1227.47,2024-01
86,1000,1200,-4323.16,2024-02
87,2000,1200,-1360.55,2024-01
88,3000,1100,-5863.86,2024-01
89,2000,1200,8229.0,2024-01
90,2000,1200,-9682.25,2024-03
91,3000,1200,-9109.19,2024-01
92,3000,1100,-7201.25,2024-01
93,3000,1200,-5446.97,2024-01
94,2000,1200,8189.75,2024-03
95,3000,1100,14.65,2024-02
96,3000,1200,-9184.87,2024-03
97,3000,1100,5900.37,2024-03
98,2000,1100,-3030.8,2024-02
99,2000,1100,-4932.73,2024-01
100,2000,1200,-3929.48,2024-02
